Label,Id
"""contadino grossoContadì grosso (dial. marchigiano): ""Con tale espressione si suol significare
                  tra noi il contadino che conduca una vasta colonia e abbia numerosa famiglia"" (Gianandrea)""","villain, citizen"
"""diavoli""","villain, monster"
"""Lucibello""","helper, monster"
"""Diavolo""","villain, monster"
"""Giuanni""","protagonist, jester"
"""Governatore""","dispatcher, sovereign"
"""pastore""","helper, citizen"
"""Gigante""","villain, monster"
"""Gallo cristallo""","protagonist, animal"
"""gallina cristallina""","protagonist, animal"
"""oca contessa""","protagonist, animal"
"""anatra badessa""","protagonist, animal"
"""uccellino cardellino""","protagonist, animal"
"""lupo""","villain, animal"
"""donna""","helper, citizen"
"""mietitori""","helper, citizen"
"""Re""","dispatcher, sovereign"
"""padre""","dispatcher, caregiver"
"""vecchietto""","helper, magician"
"""figlio più piccolo""","protagonist, creator"
"""Barca""","helper, object"
"""omone""","helper, jester"
"""omone""","helper, jester"
"""omone""","helper, jester"
"""Principessa""","prize, lover"
"""il romano""","protagonist, rebel"
"""gigante""","villain, monster"
"""Il fiorentino""","protagonist, rebel"
"""gigante""","villain, monster"
"""Il soldato napoletano""","protagonist, explorer"
"""tre vecchie""","villain, magician"
"""lupa incatenata con gli occhi fiammeggianti""","villain, animal"
"""Principessa""","prize, creator"
"""Re""","dispatcher, sovereign"
"""padre""","helper, caregiver"
"""Belmiele""","protagonist, explorer"
"""Belsole""","prize, lover"
"""Re""","dispatcher, sovereign"
"""balia""","villain, trickster"
"""balena""","villain, trickster"
"""mercante""","villain, caregiver"
"""figlia""","protagonist, lover"
"""figlio del Re di Persia""","villain, caregiver"
"""Regina""","dispatcher, caregiver"
"""Re""","villain, caregiver"
"""Regina""","helper, caregiver"
"""Maria""","protagonist, trickster"
"""balia""","helper, trickster"
"""figlio del Re""","helper, lover"
"""Re""","dispatcher, sovereign"
"""pidocchio""","dispatcher, animal"
"""figlia del Re""","protagonist, lover"
"""innamorato""","helper, lover"
"""ciabattino gobbo""","villain, jester"
"""cameriera""","helper, trickster"
"""moglie""","dispatcher, caregiver"
"""figlia""","protagonist, innocent"
"""padre""","dispatcher, caregiver"
"""sposo""","helper, lover"
"""Berta""","protagonist, innocent"
"""Nerone""","villain, sovereign"
"""figlio di Re""","protagonist, explorer"
"""ragazza""","prize, lover"
"""Brutta Saracina""","villain, trickster"
"""cuoco""","dispatcher, caregiver"
"""Giuseppe Ciufolo""","protagonist, explorer"
"""vecchio mendicante""","helper, sage"
"""Reginella""","prize, lover"
"""Bella Venezia""","villain, trickster"
"""figlia""","prize, lover"
"""sguattero""","helper, lover"
"""dodici ladroni""","helper, caregiver"
"""figlio del Re""","protagonist, explorer"
"""Re""","dispatcher, sovereign"
"""signore su un cavallo ""","villain, monster"
"""figlio""","protagonist, rebel"
"""nonna""","helper, caregiver"
"""la figlia del Re""","prize, lover"
"""Re""","villain, sovereign"
"""minore""","protagonist, innocent"
"""un generale""","helper, trickster"
"""Re selvatico""","helper, sovereign"
"""Re""","helper, lover"
"""Re""","villain, sovereign"
"""mercanti""","helper, caregiver"
"""Mandorlinfiore""","protagonist, explorer"
"""Belfiore""","prize, lover"
"""tre figli di Re""","dispatcher, sovereign"
"""balia""","villain, trickster"
"""tre figlie""","helper, caregiver"
"""ministro""","helper, caregiver"
"""bambino""","protagonist, explorer"
"""figlio di Re""","helper, sovereign"
"""Re""","villain, sovereign"
"""vecchietta""","helper, magician"
"""tre figlie""","prize, innocent"
"""gigante""","villain, monster"
"""Fratino""","protagonist, trickster"
"""mamma""","dispatcher, caregiver"
"""bambina""","protagonist, explorer"
"""fiume Giordano""","helper, object"
"""Porta Rastrello""","helper, object"
"""Orca""","villain, monster"
"""mamma""","dispatcher, caregiver"
"""Franceschiello""","protagonist, trickster"
"""armati""","villain, trickster"
"""Arciprete""","helper, caregiver"
"""buon vecchio""","protagonist, innocent"
"""signore dalla lunga barba""","helper, sage"
"""Borea""","protagonist, creator"
"""Favonio""","villain, lover"
"""sorcio""","protagonist, trickster"
"""sorcio campagnolo""","helper, innocent"
"""gatto""","villain, animal"
